X1,Y1
-166.71192591429605,-232.93036646965217
-167.25217281227128,-233.1192668183302
-167.7637410278748,-233.27035148994602
-168.24663056110663,-233.38362048449963
-168.70084141196673,-233.45907380199102
-169.12637358045512,-233.4967114424202
-169.52322706657182,-233.49653340578718
-169.8914018703168,-233.45853969209193
-170.23089799169009,-233.38273030133448
-170.54171543069165,-233.2691052335148
-170.8238541873215,-233.11766448863293
-171.07731426157966,-232.92840806668883
-171.3020956534661,-232.70133596768252
-171.49819836298084,-232.436448191614
-171.66562239012387,-232.13374473848327
-171.80436773489518,-231.79322560829033
-171.9144343972948,-231.4148908010352
-171.9958223773227,-230.99874031671786
-172.0485316749789,-230.5447741553383
-172.0725622902634,-230.05299231689654
-172.06791422317616,-229.52339480139256
-172.03458747371724,-228.95598160882636
-171.9725820418866,-228.35075273919796
-171.88189792768426,-227.70770819250734
-171.7625351311102,-227.0268479687545
-171.61449365216444,-226.30817206793947
-171.43777349084698,-225.5516804900622
-171.2323746471578,-224.75737323512274
-170.99829712109693,-223.92525030312106
-170.73554091266433,-223.05531169405717
-170.44410602186002,-222.14755740793106
-170.12399244868402,-221.20198744474274
-169.7752001931363,-220.2186018044922
-169.3977292552169,-219.19740048717946
-168.99157963492576,-218.1383834928045
-168.58543001463462,-217.07936649842955
-168.1792803943435,-216.0203495040546
-167.77313077405236,-214.96133250967964
-167.36698115376123,-213.90231551530468
-166.9608315334701,-212.84329852092972
-166.55468191317897,-211.78428152655476
-166.14853229288784,-210.7252645321798
-165.7423826725967,-209.66624753780485
-165.33623305230557,-208.6072305434299
-164.93008343201444,-207.54821354905494
-164.5239338117233,-206.48919655467998
-164.11778419143218,-205.43017956030502
-163.71163457114105,-204.37116256593006
-163.30548495084992,-203.3121455715551
-162.89933533055878,-202.25312857718015
-162.49318571026765,-201.1941115828052
-162.08703608997652,-200.13509458843023
-161.6808864696854,-199.07607759405528
-161.27473684939426,-198.01706059968032
-160.86858722910313,-196.95804360530536
-160.462437608812,-195.8990266109304
-160.05628798852086,-194.84000961655545
-159.65013836822973,-193.7809926221805
-159.2439887479386,-192.72197562780553
-158.83783912764747,-191.66295863343058
-158.43168950735634,-190.60394163905562
-158.0255398870652,-189.54492464468066
-157.61939026677408,-188.4859076503057
-157.21324064648294,-187.42689065593075
-156.8070910261918,-186.3678736615558
-156.40094140590068,-185.30885666718083
-155.99479178560955,-184.24983967280588
-155.58864216531842,-183.19082267843092
-155.1824925450273,-182.13180568405596
-154.77634292473616,-181.072788689681
-154.37019330444502,-180.01377169530605
-153.9640436841539,-178.9547547009311
-153.55789406386276,-177.89573770655613
-153.15174444357163,-176.83672071218118
-152.7455948232805,-175.77770371780622
-152.33944520298937,-174.71868672343126
-151.93329558269824,-173.6596697290563
-151.5271459624071,-172.60065273468135
-151.12099634211597,-171.5416357403064
-150.71484672182484,-170.48261874593143
-150.3086971015337,-169.42360175155648
-149.90254748124258,-168.36458475718152
-149.49639786095145,-167.30556776280656
-149.09024824066032,-166.2465507684316
-148.68409862036918,-165.18753377405665
-148.27794900007805,-164.1285167796817
-147.87179937978692,-163.06949978530673
-147.4656497594958,-162.01048279093177
-147.05950013920466,-160.95146579655682
-146.65335051891353,-159.89244880218186
-146.2472008986224,-158.8334318078069
-145.84105127833126,-157.77441481343195
-145.43490165804013,-156.715397819057
-145.028752037749,-155.65638082468203
-144.62260241745787,-154.59736383030707
-144.21645279716674,-153.53834683593212
-143.8103031768756,-152.47932984155716
-143.40415355658448,-151.4203128471822
-142.99800393629334,-150.36129585280725
-142.5918543160022,-149.3022788584323
-142.18570469571108,-148.24326186405733
-141.77955507541995,-147.18424486968237
-141.37340545512882,-146.12522787530742
-140.9672558348377,-145.06621088093246
-140.56110621454656,-144.0071938865575
-140.15495659425542,-142.94817689218254
-139.7488069739643,-141.8891598978076
-139.34265735367316,-140.83014290343263
-138.93650773338203,-139.77112590905767
-138.5303581130909,-138.71210891468272
-138.12420849279977,-137.65309192030776
-137.71805887250864,-136.5940749259328
-137.3119092522175,-135.53505793155784
-136.90575963192637,-134.4760409371829
-136.49961001163524,-133.41702394280793
-136.0934603913441,-132.35800694843297
-135.68731077105298,-131.29898995405802
-135.28116115076185,-130.23997295968306
-134.87501153047072,-129.1809559653081
-134.46886191017958,-128.12193897093314
-134.06271228988845,-127.0629219765582
-133.65656266959732,-126.00390498218326
-133.2504130493062,-124.94488798780831
-132.84426342901506,-123.88587099343337
-132.43811380872393,-122.82685399905843
-132.0319641884328,-121.76783700468349
-131.62581456814166,-120.70882001030854
-131.21966494785053,-119.6498030159336
-130.8135153275594,-118.59078602155866
-130.40736570726827,-117.53176902718371
-130.00121608697714,-116.47275203280877
-129.595066466686,-115.41373503843383
-129.18891684639487,-114.35471804405888
-128.78276722610374,-113.29570104968394
-128.3766176058126,-112.236684055309
-127.97046798552148,-111.17766706093406
-127.56431836523035,-110.11865006655911
-127.15816874493922,-109.05963307218417
-126.75201912464809,-108.00061607780923
-126.34586950435695,-106.94159908343428
-125.93971988406582,-105.88258208905934
-125.53357026377469,-104.8235650946844
-125.12742064348356,-103.76454810030945
-124.72127102319243,-102.70553110593451
-124.3151214029013,-101.64651411155957
-123.90897178261017,-100.58749711718463
-123.50282216231903,-99.52848012280968
-123.0966725420279,-98.46946312843474
-122.69052292173677,-97.4104461340598
-122.28437330144564,-96.35142913968485
-121.87822368115451,-95.29241214530991
-121.47207406086338,-94.23339515093497
-121.06592444057225,-93.17437815656002
-120.65977482028111,-92.11536116218508
-120.25362519998998,-91.05634416781014
-119.84747557969885,-89.9973271734352
-119.44132595940772,-88.93831017906025
-119.03517633911659,-87.87929318468531
-118.62902671882546,-86.82027619031037
-118.22287709853433,-85.76125919593542
-117.8167274782432,-84.70224220156048
-117.41057785795206,-83.64322520718554
-117.00442823766093,-82.5842082128106
-116.5982786173698,-81.52519121843565
-116.19212899707867,-80.46617422406071
-115.78597937678754,-79.40715722968577
-115.3798297564964,-78.34814023531082
-114.97368013620527,-77.28912324093588
-114.56753051591414,-76.23010624656094
-114.16138089562301,-75.171089252186
-113.75523127533188,-74.11207225781105
-113.34908165504075,-73.05305526343611
-112.94293203474962,-71.99403826906116
-112.53678241445849,-70.93502127468622
-112.13063279416735,-69.87600428031128
-111.72448317387622,-68.81698728593634
-111.31833355358509,-67.75797029156139
-110.91218393329396,-66.69895329718645
-110.50603431300283,-65.6399363028115
-110.0998846927117,-64.58091930843656
-109.69373507242057,-63.52190231406161
-109.28758545212943,-62.46288531968666
-108.8814358318383,-61.40386832531171
-108.47528621154717,-60.34485133093676
-108.06913659125604,-59.28583433656181
-107.69013109369664,-58.23563700229936
-107.33826971886896,-57.194259328149414
-107.013552466773,-56.161701314111966
-106.71597933740878,-55.13796296018702
-106.44555033077629,-54.12304426637458
-106.2022654468755,-53.11694523267464
-105.98612468570644,-52.1196658590872
-105.79712804726911,-51.13120614561226
-105.63527553156351,-50.15156609224982
-105.50056713858963,-49.180745698999885
-105.39300286834748,-48.21874496586245
-105.31258272083706,-47.26556389283751
-105.25930669605836,-46.32120247992508
-105.23317479401139,-45.38566072712514
-105.23418701469615,-44.45893863443771
-105.26234335811263,-43.541036201862774
-105.31764382426084,-42.63195342940034
-105.40008841314078,-41.731690317050415
-105.50967712475243,-40.84024686481299
-105.6464099590958,-39.957623072688065
-105.81028691617091,-39.08381894067564
-106.00130799597774,-38.21883446877572
-106.2194731985163,-37.362669656988295
-106.46478252378658,-36.51532450531337
-106.73723597178859,-35.67679901375095
-107.03683354252233,-34.84709318230103
-107.3635752359878,-34.02620701096361
-107.71746105218499,-33.21414049973869
-108.0984909911139,-32.41089364862627
-108.50666505277455,-31.616466457626355
-108.94198323716691,-30.83085892673894
-109.404445544291,-30.054071055964027
-109.8940519741468,-29.286102845301613
-110.41080252673434,-28.5269542947517
-110.95469720205361,-27.77662540431429
-111.5257360001046,-27.035116173989383
-112.12391892088732,-26.302426603776976
-112.74924596440177,-25.57855669367707
-113.40171713064794,-24.863506443689662
-114.08133241962584,-24.157275853814756
-114.78809183133546,-23.459864924052354
-115.52199536577682,-22.771273654402453
-116.2830430229499,-22.091502044865052
-117.07123480285469,-21.420550095440152
-117.88657070549121,-20.758417806127753
-118.72905073085946,-20.105105176927854
-119.59867487895943,-19.460612207840455
-120.49544314979113,-18.82493889886556
-121.41935554335456,-18.198085250003167
-122.37041205964971,-17.580051261253274
-123.32146857594486,-16.96201727250338
-124.27252509224002,-16.343983283753488
-125.22358160853517,-15.725949295003595
-126.17463812483032,-15.107915306253702
-127.12569464112548,-14.489881317503809
-128.07675115742063,-13.871847328753915
-129.02780767371578,-13.253813340004022
-129.97886419001094,-12.63577935125413
-130.9299207063061,-12.017745362504236
-131.88097722260125,-11.399711373754343
-132.8320337388964,-10.78167738500445
-133.78309025519155,-10.163643396254557
-134.7341467714867,-9.545609407504664
-135.68520328778186,-8.92757541875477
-136.636259804077,-8.309541430004877
-137.58731632037217,-7.691507441254983
-138.53837283666732,-7.073473452505089
-139.48942935296247,-6.455439463755195
-140.44048586925763,-5.837405475005301
-141.39154238555278,-5.219371486255407
-142.34259890184794,-4.601337497505513
-143.2936554181431,-3.9833035087556197
-144.24471193443824,-3.365269520005726
-145.1957684507334,-2.7472355312558325
-146.14682496702855,-2.129201542505939
-147.0978814833237,-1.5111675537560454
-148.04893799961886,-0.8931335650061517
-148.999994515914,-0.275099576256258
-149.95105103220916,0.34293441249363565
-150.90210754850432,0.9609684012435293
-151.85316406479947,1.579002389993423
-152.80422058109463,2.1970363787433165
-153.75527709738978,2.81507036749321
-154.70633361368493,3.4331043562431036
