Elapsed_Time,Position_X,Position_Y,Position_Z,Orientation_X,Orientation_Y,Orientation_Z,Orientation_W
2558.117,-33.66876132400232,16.59165589934378,-0.07611118992865698,-0.031054669949685646,-0.038152003559944116,0.9502678786888396,-0.3075239678966358
2558.147,-33.668640580106036,16.591088146390433,-0.07606973373230072,-0.03008085313068877,-0.03743561393371838,0.9503633543567691,-0.30741374689510154
2558.147,-33.66851400840158,16.590488505404416,-0.07590390358181377,-0.0290879655196491,-0.03675001523932908,0.9505432176843414,-0.3070356949218373
2558.157,-33.668386658931894,16.589855322470417,-0.07573457637557511,-0.028099503733018758,-0.03607486053147553,0.9506592157896417,-0.30684862352928377
2558.167,-33.66823338345076,16.58917936709902,-0.07561944320216044,-0.02712708129018162,-0.0354107367951953,0.9508156913450252,-0.3065285015661335
2558.177,-33.66807324937646,16.588465223816716,-0.07555792608784527,-0.026177424708912923,-0.034713132473749256,0.9509124809632566,-0.3063905912683569
2558.197,-33.667915983715375,16.587749534074867,-0.0764366819893377,-0.02520810654536911,-0.03402164704916775,0.9510966426966022,-0.3059775402667832
2558.197,-33.66777645894817,16.58701477062377,-0.0765846630443767,-0.02425304264232588,-0.033297760260845036,0.9511168696338893,-0.3060714775702437
2558.207,-33.66766252033423,16.586296167398032,-0.07676775501982504,-0.023257870104976146,-0.03261240885789136,0.9513069238232464,-0.30563154116127783
2558.237,-33.66758342739556,16.585598789434638,-0.07669878569751933,-0.022260726097349408,-0.031917232425652996,0.9514174181669763,-0.305435176029858
2558.237,-33.6675298099153,16.58491805872022,-0.07646904371144823,-0.021252269933457336,-0.031219420793272022,0.9515961770995894,-0.3050219738272227
2558.237,-33.66749559399252,16.584249590336697,-0.07620796004633008,-0.020229373416259657,-0.030545104795682898,0.9517018845702994,-0.3048299393588939
2558.277,-33.66746809585932,16.583588003359885,-0.07597725765511436,-0.019226818913397618,-0.029814166835879483,0.9518713470298916,-0.30443781564361105
2558.277,-33.66745102044366,16.582942126067582,-0.07669452727768789,-0.01820239466891474,-0.02914671580867874,0.9520166441550766,-0.30411091897133746
2558.277,-33.66744272445501,16.58232391227618,-0.07673401822945375,-0.017194791847354066,-0.028448139471460264,0.9521303914327218,-0.3038795159337175
2558.277,-33.6674590594944,16.581749313792344,-0.07683366187733834,-0.016177184400284733,-0.027788743001741657,0.9522640845947474,-0.3035773339005895
2558.277,-33.6674893811571,16.581209739642766,-0.07673451381546792,-0.015189541950433918,-0.02707887719308418,0.9523598686840815,-0.3033919787096171
2558.277,-33.66754011304829,16.580725552785815,-0.07651912804409451,-0.014187775600424566,-0.026407813793407224,0.9525089819101145,-0.3030313082417751
2558.277,-33.66761721115206,16.580278263869616,-0.07629160464185987,-0.013205675748473922,-0.025710812540004846,0.9525351171229736,-0.30305348520365505
2558.317,-33.6676784781586,16.579857687059672,-0.07613885589360027,-0.01219484709591911,-0.02509451510825468,0.9526780779529233,-0.3026979200518439
2558.367,-33.6677174745484,16.57943083748682,-0.07605239013647222,-0.01123884014182278,-0.024384838318383496,0.9527007673325679,-0.30272151568130923
2558.367,-33.667757889231986,16.579016689033672,-0.07690590495817924,-0.010278934702035983,-0.023720569199958144,0.9527753105172218,-0.3025737691324759
2558.367,-33.6677809735112,16.57861173357141,-0.07707121155020677,-0.0093636718989697,-0.022986460763635606,0.952827745456819,-0.3024950111287879
2558.367,-33.66779808593828,16.578233257049487,-0.07726632954958869,-0.008421456981186211,-0.022338142468601555,0.9529226039782862,-0.3022723892131216
2558.367,-33.66782790576508,16.577874288965496,-0.07723264368287201,-0.007482259476450068,-0.021687361047262443,0.9528993803478358,-0.3024176666410934
2558.397,-33.66787079155835,16.577543435763275,-0.07707770914390662,-0.006514774524009194,-0.021102811834080228,0.9529441500454932,-0.30234033131500904
2558.397,-33.667926351697645,16.57724413367022,-0.07686483248920574,-0.005534214831682454,-0.020485520662541546,0.9530440526113947,-0.3020873213020214
2558.397,-33.66798970894308,16.576970529377977,-0.07666441412133915,-0.004559843272882393,-0.019866279239531492,0.9530419602378121,-0.30215155270918637
2558.407,-33.668027476559466,16.576696447080657,-0.07650044204244107,-0.0036004571634479284,-0.019153310259562642,0.9532207616611608,-0.3016460955365269
2558.427,-33.668059412290866,16.576413208914374,-0.07728474676179937,-0.0026422306032194516,-0.018401974391808955,0.9532934484552801,-0.3014730287905751
2558.427,-33.668019494734544,16.576071803499726,-0.07743437735175229,-0.001700472149536367,-0.01758818424229163,0.9534411550454261,-0.30106100384335965
2558.427,-33.667964616808455,16.575692416220136,-0.0776281720584837,-0.000754514718294725,-0.0167880112581097,0.9534540173223094,-0.30106980957493407
2558.447,-33.66786915821817,16.57527736822018,-0.07763744051740586,0.00019240401264468827,-0.015978628488680407,0.9536452364230613,-0.3005085846692571
2558.477,-33.66777813685949,16.574851017259498,-0.07751602369825714,0.0011442081760502367,-0.01520010348054162,0.9536545722944326,-0.30051722809808007
2558.477,-33.667668860009314,16.574408993749856,-0.07738301702824647,0.0020808407152878563,-0.01437538341499174,0.953842645717203,-0.2999553727886799
2558.477,-33.66757542220529,16.573968231697148,-0.07727565163462173,0.0029963105679722776,-0.013546560590735458,0.9538499267519545,-0.2999630478149482
2558.507,-33.667500246664844,16.57354230844805,-0.0772167528005102,0.0039031795466245925,-0.012705807080391814,0.9539622153575594,-0.29963214000831107
2558.507,-33.667436516206166,16.573138932951327,-0.07809699081610491,0.004829597793980497,-0.01194395473827682,0.954005903492755,-0.29951085628292445
2558.507,-33.66740567139974,16.572776113548954,-0.07825962656296333,0.005796375810599626,-0.011200969274638576,0.954114095222675,-0.2991775954382067
2558.517,-33.66742776412673,16.572460366759667,-0.07842758073149841,0.006778007125650526,-0.010498781957055874,0.9541339829645711,-0.29911900098286326
2558.547,-33.667476954959575,16.572187654122658,-0.07837368871948788,0.007811029617729233,-0.009837342431964463,0.9542825932200233,-0.29864183696772106
